GitHub Username,Earliest Commit Date,Commit URL,Repository
"=HYPERLINK(""https://github.com/zchenyu"", ""zchenyu"")",2023-09-01,"=HYPERLINK(""https://github.com/knative-extensions/monitoring/commit/9f7912067286f52c897f9d2faa3e462075c531af"", ""View Commit"")",knative-extensions/monitoring
"=HYPERLINK(""https://github.com/abhijeetgauravm"", ""abhijeetgauravm"")",2023-09-05,"=HYPERLINK(""https://github.com/knative/pkg/commit/66bf5af149996e05bba9ee787b38321a4abaec19"", ""View Commit"")",knative/pkg
"=HYPERLINK(""https://github.com/KaranJagtiani"", ""KaranJagtiani"")",2023-09-06,"=HYPERLINK(""https://github.com/knative/serving/commit/815fe70fa08a139960cf8501039903e7c0f9b3a0"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/arsenetar"", ""arsenetar"")",2023-09-12,"=HYPERLINK(""https://github.com/knative/serving/commit/997d8ef27e0d86da05f46e5f51f9fb831b476de5"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/theomessin"", ""theomessin"")",2023-09-12,"=HYPERLINK(""https://github.com/knative/operator/commit/c42751f958891c9e75462b864b36042fb8c85867"", ""View Commit"")",knative/operator
"=HYPERLINK(""https://github.com/JinVei"", ""JinVei"")",2023-09-12,"=HYPERLINK(""https://github.com/knative/serving/commit/3010cb8e2a7c1f0048e201bdfeb98fa1528f1c44"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/RealArtemiy"", ""RealArtemiy"")",2023-09-13,"=HYPERLINK(""https://github.com/knative/docs/commit/ecf5bfefb2320b92b4936045d8b5b74ed4fe05d0"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/CodesbyUnnati"", ""CodesbyUnnati"")",2023-09-18,"=HYPERLINK(""https://github.com/knative/docs/commit/661e5724a0a959bce0ff08d3b2dcd062d649e52b"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/MeenuyD"", ""MeenuyD"")",2023-09-18,"=HYPERLINK(""https://github.com/knative/networking/commit/6feaf0cf4a0e9083c5daeb206c9dbe519413030f"", ""View Commit"")",knative/networking
"=HYPERLINK(""https://github.com/husnialhamdani"", ""husnialhamdani"")",2023-09-20,"=HYPERLINK(""https://github.com/knative/docs/commit/8a71d34283aab77b5945f1d2e858b273e3cd50d3"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/seongpyoHong"", ""seongpyoHong"")",2023-09-21,"=HYPERLINK(""https://github.com/knative/serving/commit/d02702e1a6b117988344797c59ebe2c94d50929a"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/dnwe"", ""dnwe"")",2023-09-22,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/5c4461d0a616401a983136602d09a95fbff4e514"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/Priyansurout"", ""Priyansurout"")",2023-09-25,"=HYPERLINK(""https://github.com/knative/serving/commit/3736ab56e7d0c21a5f07a9969b81fcf5ff3a7227"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/harshsingh-24"", ""harshsingh-24"")",2023-09-28,"=HYPERLINK(""https://github.com/knative/serving/commit/6631be7573832e26828ce5dcb7fdf5ffa020a354"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/Micah-Gafford"", ""Micah-Gafford"")",2023-09-28,"=HYPERLINK(""https://github.com/knative/docs/commit/d79909862f7170bc12877ffcf6f978ddf40924bc"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/HrrrXppp"", ""HrrrXppp"")",2023-10-04,"=HYPERLINK(""https://github.com/knative/docs/commit/1b7a1b0e4df3a38b0d649c0b126e63b85cd86763"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/SYK-08"", ""SYK-08"")",2023-10-13,"=HYPERLINK(""https://github.com/knative/docs/commit/868e904c426a4ecab33316a438e4892e537fdb8d"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/akagami-harsh"", ""akagami-harsh"")",2023-10-18,"=HYPERLINK(""https://github.com/knative/eventing/commit/3ef831c9b7e4f620d3dd574ee9c559780bfdb322"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/ofey404"", ""ofey404"")",2023-10-19,"=HYPERLINK(""https://github.com/knative/docs/commit/729b03c1c83cc11eb03d19bd06676ee3ff4c7250"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/vinfinity7"", ""vinfinity7"")",2023-10-20,"=HYPERLINK(""https://github.com/knative/docs/commit/9bef31340724223621b0e785c9e8b50a3f7bd5f8"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/tatodorov"", ""tatodorov"")",2023-10-23,"=HYPERLINK(""https://github.com/knative/docs/commit/3011f84008e53845ca72f3be811c6f5647ca6f5e"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/yechuan51"", ""yechuan51"")",2023-10-23,"=HYPERLINK(""https://github.com/knative-extensions/monitoring/commit/9e7371dfcb7a1f0ac8b81622ce8147229e241332"", ""View Commit"")",knative-extensions/monitoring
"=HYPERLINK(""https://github.com/SiBell"", ""SiBell"")",2023-10-26,"=HYPERLINK(""https://github.com/knative/eventing/commit/0684dbece5add2404b10a9a52b8502ae76e26159"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/prushh"", ""prushh"")",2023-11-07,"=HYPERLINK(""https://github.com/knative/func/commit/7af58b5eb49e48bfabc95a2e1a4dfe8a4291175a"", ""View Commit"")",knative/func
"=HYPERLINK(""https://github.com/AlexMichaelJonesNC"", ""AlexMichaelJonesNC"")",2023-11-14,"=HYPERLINK(""https://github.com/knative/docs/commit/68ea6fae2fedb7a9d2af444b0cad65c28e866f27"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/luckymrwang"", ""luckymrwang"")",2023-11-14,"=HYPERLINK(""https://github.com/knative/serving/commit/936ecbdb547d896d1ef260c17edb4131cfd1d2ae"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/yuzp1996"", ""yuzp1996"")",2023-11-14,"=HYPERLINK(""https://github.com/knative/docs/commit/304f5c06b1fa885dfb608bd2aeb83165a8498665"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/prakrit55"", ""prakrit55"")",2023-11-17,"=HYPERLINK(""https://github.com/knative/eventing/commit/dc965225f63560e79d11d6729a2c720c254b0db7"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/rajibmitra"", ""rajibmitra"")",2023-11-17,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/b8da68a57082173d9b0c353bb959e400f05b10a2"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/md-saif-husain"", ""md-saif-husain"")",2023-11-22,"=HYPERLINK(""https://github.com/knative/eventing/commit/64b48479ac78fce6a399c65875821cb41ebc55ad"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/heysourin"", ""heysourin"")",2023-11-23,"=HYPERLINK(""https://github.com/knative/serving/commit/636dfad29920e5a6f92a1ed874fc782cbfe82b89"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/navinag1989"", ""navinag1989"")",2023-11-28,"=HYPERLINK(""https://github.com/knative/docs/commit/8e998cf09026a0e7ca9122fef05d91ded440bab3"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/yanggangtony"", ""yanggangtony"")",2023-12-07,"=HYPERLINK(""https://github.com/knative/operator/commit/cfea599a9a028e20816bbbdbac1dd496be22f204"", ""View Commit"")",knative/operator
"=HYPERLINK(""https://github.com/cdalar"", ""cdalar"")",2023-12-07,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/930a91b33e5c22b62b7affb5d9cb2301a7f4e078"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/Skeen"", ""Skeen"")",2023-12-10,"=HYPERLINK(""https://github.com/knative-extensions/eventing-rabbitmq/commit/ee3c8600b47e51c52056353d895bc65246ade5e8"", ""View Commit"")",knative-extensions/eventing-rabbitmq
"=HYPERLINK(""https://github.com/zainabhusain227"", ""zainabhusain227"")",2023-12-14,"=HYPERLINK(""https://github.com/knative/ux/commit/98f6cda9ed4507cd7c28f68dc0ab4833c17c08da"", ""View Commit"")",knative/ux
"=HYPERLINK(""https://github.com/tikr7"", ""tikr7"")",2023-12-19,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/3e08c959ddaff6fece3c80bb6c48cb17066b4756"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/sharmaansh21"", ""sharmaansh21"")",2023-12-20,"=HYPERLINK(""https://github.com/knative/client/commit/70805a67db57e5902613562cb893d343d23e5c83"", ""View Commit"")",knative/client
"=HYPERLINK(""https://github.com/shikharish"", ""shikharish"")",2023-12-22,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/0ed108c468be215c796a1b9faff20ff12aca0d6c"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/SD-13"", ""SD-13"")",2024-01-02,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/6dadadcda29db9ecd6cab90820ddc05049fb5099"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/professorabhay"", ""professorabhay"")",2024-01-04,"=HYPERLINK(""https://github.com/knative/docs/commit/777922060214df6ba80eb598cdd0c6abb811da91"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/pawarpranav83"", ""pawarpranav83"")",2024-01-12,"=HYPERLINK(""https://github.com/knative/eventing/commit/c7520cccd86eb21acea197a9d91b67a70fe8ce36"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/octonawish-akcodes"", ""octonawish-akcodes"")",2024-01-15,"=HYPERLINK(""https://github.com/knative/eventing/commit/42af160c3cfc244e26fa7bcd5db2c670ebdcf326"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/jacksgt"", ""jacksgt"")",2024-01-15,"=HYPERLINK(""https://github.com/knative/serving/commit/1e2faa3b3745f9e3f5a4786ae16e755e9bf90e66"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/lou-lan"", ""lou-lan"")",2024-01-15,"=HYPERLINK(""https://github.com/knative/serving/commit/752314ea57cbb37ea1d81606718c94e3d0a712c0"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/Zazzscoot"", ""Zazzscoot"")",2024-01-18,"=HYPERLINK(""https://github.com/knative/eventing/commit/fb9be2b67bf6c616792ead891916cbcae5c980c7"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/sadath-12"", ""sadath-12"")",2024-01-22,"=HYPERLINK(""https://github.com/knative/eventing/commit/44ff98b38212a812337725924a7fcd58be526a86"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/joshualyon"", ""joshualyon"")",2024-01-25,"=HYPERLINK(""https://github.com/knative-extensions/kn-plugin-operator/commit/cdc6654961bd077d1506ccb77473f35ca44b9129"", ""View Commit"")",knative-extensions/kn-plugin-operator
"=HYPERLINK(""https://github.com/lysliu"", ""lysliu"")",2024-01-26,"=HYPERLINK(""https://github.com/knative/docs/commit/c14943c4c31f09371457ddf4fccddac97e00e578"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/prashantrewar"", ""prashantrewar"")",2024-01-30,"=HYPERLINK(""https://github.com/knative/release/commit/ca423a01335d4e82a4dc95edd62c8b2c2f750bc6"", ""View Commit"")",knative/release
"=HYPERLINK(""https://github.com/yijie-04"", ""yijie-04"")",2024-01-30,"=HYPERLINK(""https://github.com/knative/eventing/commit/ff52881fc57db975af4ceefe589f50dcd7a01e92"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/Indrranil"", ""Indrranil"")",2024-01-31,"=HYPERLINK(""https://github.com/knative/community/commit/e5b53ab8e124bca286ca5499124e7b9fe4c1453f"", ""View Commit"")",knative/community
"=HYPERLINK(""https://github.com/converge"", ""converge"")",2024-02-02,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/6380b7b6b4967ad216ee30a71dc01a4a1815cce2"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/nrrso"", ""nrrso"")",2024-02-06,"=HYPERLINK(""https://github.com/knative/community/commit/cf25fc353b962dd5f9c1c8e0b4800eb92e56af0d"", ""View Commit"")",knative/community
"=HYPERLINK(""https://github.com/supu2"", ""supu2"")",2024-02-07,"=HYPERLINK(""https://github.com/knative/operator/commit/0f1bee4a554ec67c49963967e11e1d820481a7b6"", ""View Commit"")",knative/operator
"=HYPERLINK(""https://github.com/gunishmatta"", ""gunishmatta"")",2024-02-09,"=HYPERLINK(""https://github.com/knative-extensions/eventing-kafka-broker/commit/d6a383fff58047078c232f83bdcbe9e88d402891"", ""View Commit"")",knative-extensions/eventing-kafka-broker
"=HYPERLINK(""https://github.com/Muhammad-Raiyan"", ""Muhammad-Raiyan"")",2024-02-13,"=HYPERLINK(""https://github.com/knative/serving/commit/212577294ecd8319b6cb6389cf9bc8de47b4af79"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/amarflybot"", ""amarflybot"")",2024-02-14,"=HYPERLINK(""https://github.com/knative/serving/commit/62839144d0e96088cfe469ad0de8bd2b707afb13"", ""View Commit"")",knative/serving
"=HYPERLINK(""https://github.com/Sanket-0510"", ""Sanket-0510"")",2024-02-16,"=HYPERLINK(""https://github.com/knative/func/commit/d2fb76c39d5db6301a04ad78108c61e7da949a4b"", ""View Commit"")",knative/func
"=HYPERLINK(""https://github.com/igorchyts"", ""igorchyts"")",2024-02-19,"=HYPERLINK(""https://github.com/knative/docs/commit/4477889942daf822cef25014d043f5df3ae4aa85"", ""View Commit"")",knative/docs
"=HYPERLINK(""https://github.com/satyampsoni"", ""satyampsoni"")",2024-02-19,"=HYPERLINK(""https://github.com/knative/eventing/commit/bb2c03b9d8794fc84588cb02f9de140296e5582e"", ""View Commit"")",knative/eventing
"=HYPERLINK(""https://github.com/ckcd"", ""ckcd"")",2024-02-20,"=HYPERLINK(""https://github.com/knative/networking/commit/630e71a2dbc7e948b1a016ed5f7ea0951aa78ebb"", ""View Commit"")",knative/networking
"=HYPERLINK(""https://github.com/mmejia02"", ""mmejia02"")",2024-02-27,"=HYPERLINK(""https://github.com/knative/ux/commit/2860bed4e3f48b194b5d8df55c86338108e6a8c4"", ""View Commit"")",knative/ux
